rt,symbol,cond,pp
5.8707379140358835,1.0,control,109
-15.867880630372113,1.0,control,109
11.830612053359008,1.0,control,109
9.314608496904759,1.0,control,109
9.026511597535507,1.0,control,109
12.27276902261017,1.0,control,109
9.038267730592985,1.0,control,109
12.346273205168398,1.0,control,109
12.871957966771156,1.0,control,109
16.137246999244862,1.0,control,109
13.014760783457472,1.0,control,109
14.361378939992589,1.0,control,109
7.32556189646707,1.0,control,109
7.650049137238232,1.0,control,109
14.665330058579876,1.0,control,109
6.674135236702973,1.0,control,109
12.136037095537986,1.0,control,109
8.656361209107551,1.0,control,109
11.926712805181591,1.0,control,109
7.9330780917379915,1.0,control,109
6.817143691651235,1.0,control,109
12.801105983733715,1.0,control,109
9.018443647238437,1.0,control,109
7.623610409290623,1.0,control,109
13.744752442734487,1.0,control,109
9.185315015780224,1.0,control,109
12.265312262156183,1.0,control,109
6.620357834608116,1.0,control,109
7.810025199691344,1.0,control,109
15.749795015334431,1.0,control,109
6.956321639965081,1.0,control,109
8.178165934951718,1.0,control,109
11.472207944263559,1.0,control,109
9.562120314859072,1.0,control,109
9.979665010336923,1.0,control,109
15.365467752301774,1.0,control,109
7.622909451579507,1.0,control,109
16.33645014762375,1.0,control,109
8.233284318882367,1.0,control,109
6.874658106769786,1.0,control,109
8.10702408085686,1.0,control,109
7.95350503565333,1.0,control,109
10.639908013429693,1.0,control,109
8.182464077345156,1.0,control,109
8.08604213593311,1.0,control,109
7.658323186143149,1.0,control,109
8.94667298518035,1.0,control,109
11.298086642497683,1.0,control,109
9.031295019819117,1.0,control,109
7.6056972294327325,1.0,control,109
9.535166001360865,1.0,control,109
11.097182585886049,1.0,control,109
8.236866021433496,1.0,control,109
11.269617564648327,1.0,control,109
11.920476720996351,1.0,control,109
11.271188320186502,1.0,control,109
8.657739657862315,1.0,control,109
7.1969776430515005,1.0,control,109
8.037182472007713,1.0,control,109
-11.271596938252017,1.0,control,109
7.514288049687364,1.0,control,109
8.52579587714732,1.0,control,109
-9.26018170569171,1.0,control,109
6.887116579864825,1.0,control,109
13.532453445657788,1.0,control,109
10.392431134647596,1.0,control,109
10.653254199983618,1.0,control,109
8.738761557929745,1.0,control,109
8.912301592954725,1.0,control,109
7.347267786278667,1.0,control,109
8.200425423172337,1.0,control,109
12.21961232992054,1.0,control,109
7.0139543886855815,1.0,control,109
8.519408987445894,1.0,control,109
10.450175427867482,1.0,control,109
10.99272143337991,1.0,control,109
10.875752069421779,1.0,control,109
10.8804460725999,1.0,control,109
9.762387116136606,1.0,control,109
15.141422028228831,1.0,control,109
8.782697862939541,1.0,control,109
16.337067834580598,1.0,control,109
7.517913245605173,1.0,control,109
-9.702578686100688,1.0,control,109
9.128416624122684,1.0,control,109
10.533333270873356,1.0,control,109
6.91878000323142,1.0,control,109
6.913887265765551,1.0,control,109
6.711529195650589,1.0,control,109
8.390405042062007,1.0,control,109
8.538856913097835,1.0,control,109
8.761157094949226,1.0,control,109
6.7727364592625765,1.0,control,109
-8.496889087034546,1.0,control,109
6.16899861605906,1.0,control,109
10.788861301022393,1.0,control,109
9.193191486600732,1.0,control,109
15.845023421321404,1.0,control,109
10.303027862894844,1.0,control,109
-15.288260624376539,1.0,control,109
11.636740925246603,1.0,control,109
13.51595724711447,1.0,control,109
9.274030080280022,1.0,control,109
10.614823106009256,1.0,control,109
15.835647660722447,1.0,control,109
12.124684430743772,1.0,control,109
6.6459352207401725,1.0,control,109
12.818582616276467,1.0,control,109
6.708929894827229,1.0,control,109
15.473753321699602,1.0,control,109
11.319720162711649,1.0,control,109
6.772734878468509,1.0,control,109
10.910399980640761,1.0,control,109
6.8800068633459,1.0,control,109
-9.591778987696749,1.0,control,109
11.16044087074194,1.0,control,109
-8.743691731610882,1.0,control,109
10.34479252380901,1.0,control,109
10.796294387715838,1.0,control,109
11.012465034321952,1.0,control,109
14.022595768605733,1.0,control,109
7.726596186897232,1.0,control,109
-15.72854148166084,1.0,control,109
10.502327703193863,1.0,control,109
6.740040787716017,1.0,control,109
9.109898461568292,1.0,control,109
9.284240428130062,1.0,control,109
6.607280013978529,1.0,control,109
7.080039807752248,1.0,control,109
9.737490147118303,1.0,control,109
6.798710442263487,1.0,control,109
7.212040595208215,1.0,control,109
8.477513540885841,1.0,control,109
8.333301707588046,1.0,control,109
-15.701963719212564,1.0,control,109
15.777643315056604,1.0,control,109
11.18208355472132,1.0,control,109
10.61108136031966,1.0,control,109
7.033516242692821,1.0,control,109
6.866601606563985,1.0,control,109
9.047439787552248,1.0,control,109
9.47449569470193,1.0,control,109
8.232233038288962,1.0,control,109
7.645455234789634,1.0,control,109
