pp,symbol,cond,accuracy,meanRT_correct,meanRT_incorrect,meanRTlog_correct,meanRTlog_incorrect,0.1_correct,0.25_correct,0.3_correct,0.5_correct,0.7_correct,0.75_correct,0.9_correct,0.1_incorrect,0.25_incorrect,0.3_incorrect,0.5_incorrect,0.7_incorrect,0.75_incorrect,0.9_incorrect,skew_correct,stdRT_correct,skew_incorrect,stdRT_incorrect,n_trials,fast_errors,origin,model,study
139,0,guess,0.7298850574712644,2.391046456692913,3.046251063829787,0.8333081898874312,1.0824276400964559,1.66646,1.9045,1.96462,2.3729,2.75758,2.87135,3.20282,2.31724,2.52935,2.5713,2.8024,3.19024,3.4543999999999997,4.22294,0.4082775907299966,0.6597892562522649,0.6901696848975929,0.784654094066806,174,0,empirical,none,1
139,1,guess,0.8114285714285714,2.3411528169014084,2.3708878787878787,0.8194410850674383,0.8266086897140966,1.6080699999999999,1.869325,1.9566999999999999,2.28315,2.64634,2.7710999999999997,3.09836,1.69012,1.7772,1.8915799999999998,2.3395,2.6143,2.6198,3.2181200000000003,0.46722194245241755,0.5879580089090002,1.1177887725150404,0.6806271706841307,175,0,empirical,none,1
140,0,control,0.6609195402298851,3.104628695652174,3.4182576271186442,0.7325121441906347,0.8032430216758906,0.7604799999999999,1.0737999999999999,1.1624,1.8175,3.06642,3.78885,7.240280000000007,0.76498,1.19435,1.4528999999999999,1.9009,3.289759999999999,3.6223,8.007740000000002,2.527622998477433,3.3588631804333864,2.2894926310683763,3.8394486356679134,174,0,empirical,none,1
140,1,control,0.6363636363636364,3.774155357142857,3.2471421874999997,0.8697700453257903,0.7846219098814897,0.76422,1.054225,1.21755,2.1319,3.60798,5.284525,8.95846,0.8108400000000001,1.081775,1.22919,1.97575,3.4643499999999996,4.050075,5.78754,1.888955082912652,4.045619752516668,2.939882156581018,3.694922062060295,176,1,empirical,none,1
142,0,control,0.4228571428571429,2.7956716216216217,2.555491089108911,0.946735579986781,0.8182076359672104,1.6109900000000001,1.955825,2.1375599999999997,2.5515999999999996,3.3627099999999994,3.52585,4.5086900000000005,1.2749,1.698,1.7542,2.2035,2.6972,2.8598,4.301,0.7827453198691894,1.1398442418852577,1.3721441590079366,1.3534674997279403,175,1,empirical,none,1
142,1,control,0.9142857142857143,2.20241,2.974793333333333,0.685971756839252,1.0138883416910487,1.15886,1.42605,1.54447,1.9285999999999999,2.436,2.63615,3.5612399999999993,1.50122,2.1830499999999997,2.33366,2.8137,3.4375399999999994,3.8266999999999998,4.6100200000000005,1.4628776818759281,1.0808225581885806,0.3496577352290932,1.1624456917985255,175,0,empirical,none,1
143,0,guess,0.8571428571428571,7.023313333333334,5.7101999999999995,1.734216577210017,1.4718556957296896,2.1943,3.552,3.8684,6.207000000000001,9.0731,9.5425,13.036,1.7696000000000003,2.686,2.8478000000000003,4.878,6.5013999999999985,6.67,9.716400000000002,1.4106781030560713,4.524927698093683,2.5260536091649413,4.9647186476174054,175,1,empirical,none,1
143,1,guess,0.7771428571428571,6.705992647058824,6.087128205128205,1.6751629031810225,1.551565554860252,2.0795,3.1045,3.3535000000000004,5.714,8.397,8.792,12.029499999999999,2.0082,2.891,3.1488,3.89,7.7317999999999945,8.8245,11.9306,1.7600558539018698,4.794106342392475,2.0016548474554385,4.827355864344956,175,1,empirical,none,1
144,0,control,0.8606060606060606,5.742471830985916,7.785478260869565,1.63681594359261,2.0017777631048177,2.8705,3.69925,3.9193,5.0785,6.891399999999999,7.361,9.169500000000001,5.4316,6.404,6.5948,6.987,7.901399999999999,8.5115,9.875,1.4460121874368108,2.876751932926793,2.3556823252079715,2.8916152904807886,165,0,empirical,none,1
144,1,control,0.9314285714285714,6.634368098159509,6.219666666666666,1.8178444717097806,1.7264577349535248,3.8568,5.005,5.2066,6.016,7.095,7.7075,10.268600000000001,3.1204,4.138,4.3968,5.276999999999999,7.6911,7.784,9.5108,1.3877037946273851,2.7254191816157745,0.8524951239455596,2.933863767467843,175,1,empirical,none,1
146,0,control,0.4411764705882353,7.292930666666666,5.944095789473684,1.5328269150850222,1.303737420411423,1.5647199999999999,2.65415,2.77248,4.4287,6.61714,7.8318,17.55490000000001,0.93598,1.8618999999999999,2.1883999999999997,3.4259,6.749939999999999,7.4441500000000005,13.667640000000002,2.1826065774206795,8.150994674204597,2.166012593538483,6.529426649928047,170,1,empirical,none,1
146,1,control,0.7732558139534884,6.672635338345865,6.093648717948718,1.3922568443861139,1.248470709099652,1.1251200000000001,2.0687,2.43456,3.9606,6.189879999999999,7.6578,13.922179999999997,0.97854,1.7723,1.9448,3.8163,4.976,5.61325,15.18284000000001,3.1247694767434857,8.52777712911269,2.636162170805439,8.025757949084994,172,1,empirical,none,1
149,0,guess,0.8850574712643678,6.430864935064935,5.2817050000000005,1.7497328277088846,1.4136064374574056,2.63852,4.117525,4.654310000000001,6.8211,7.95763,8.21665,9.441070000000005,1.46378,1.9873,2.7360700000000002,4.67155,6.77018,7.324625,10.402410000000001,0.42469484763192017,2.784209991505963,0.6035740422660721,3.5528719707442318,174,1,empirical,none,1
149,1,guess,0.9476744186046512,5.678513496932515,2.740955555555556,1.6097458437608325,0.9332882920158316,2.24258,3.667,4.02492,5.4409,7.09172,7.37395,9.167620000000003,1.71528,1.868,1.9233600000000002,2.2231,3.30652,3.3324,3.9866600000000005,0.5286267281819214,2.671971334503666,0.8714613985076456,1.1556377926399681,172,1,empirical,none,1
152,0,control,0.6481481481481481,3.5592885714285716,2.358722807017544,1.0624836582050592,0.6690061227316416,1.39874,1.8448,2.06572,2.5964,3.9567,4.2675,5.793640000000001,1.0115399999999999,1.3352,1.3913200000000001,1.9045,2.2620199999999997,2.3974,5.376659999999999,2.5638098783662526,2.765673421516634,2.223247501476534,1.752587112366982,162,1,empirical,none,1
152,1,control,0.5493827160493827,2.378020224719101,3.6448890410958907,0.6935134283706865,1.0913693055519549,1.1033600000000001,1.2845,1.3451199999999999,1.8856,2.23272,2.4953,4.87574,1.31796,1.7726,1.9520999999999997,2.7959,4.4355199999999995,4.7849,6.56628,2.1147390088130495,1.6792051795539633,1.5300112949466798,2.462305705959448,162,0,empirical,none,1
